id,sku,ean,brand,name_en,name_gr,category_id,is_prize,is_retail,suggested_search_query
72,65894,5038104658945,WHITEHOUSE,3D SPACEMAN K/C & STRAP 8 ASST,ΜΠΡΕΛΟΚ 3D SPACEMAN,8,true,false,5038104658945 WHITEHOUSE 3D SPACEMAN K/C & STRAP 8 ASST official product image
73,65173,5038104651731,WHITEHOUSE,PU VINYL AQUATIC ANIMALS 16 ASST (DB),SOFT VINYL AQUATIC ANIMAL,6,true,false,5038104651731 WHITEHOUSE PU VINYL AQUATIC ANIMALS 16 ASST (DB) official product image
74,6619,5038104066191,WHITEHOUSE,"4""/10CM SESAME STREET MIX BAGCLIPS 8 ASST",ΚΛΙΠ ΤΣΑΝΤΑΣ 10CM SESAME STREET,7,true,false,"5038104066191 WHITEHOUSE 4""/10CM SESAME STREET MIX BAGCLIPS 8 ASST official product image"
75,47342,5038104473425,WHITEHOUSE,"7.5""/19CM SUMO S/2 4 ASST",ΛΟΥΤΡΙΝΟ 19CM SUMO S/2,6,true,false,"5038104473425 WHITEHOUSE 7.5""/19CM SUMO S/2 4 ASST official product image"
76,30441,5056577702446,PALADONE,PALADONE NINTENDO: MARIO KART - BACKPACK BUDDIES (PP3135NNV3),ΚΛΙΠ ΤΣΆΝΤΑΣ MARIO KART,8,true,false,5056577702446 PALADONE PALADONE NINTENDO: MARIO KART - BACKPACK BUDDIES (PP3135NNV3) official product image
77,36874,5055964717469,PALADONE,PALADONE: PAC MAN - GHOST LIGHT V2 (PP4336PMTX),ΦΩΤΙΣΤΙΚΌ ΦΆΝΤΑΣΜΑ PAC MAN,4,true,false,5055964717469 PALADONE PALADONE: PAC MAN - GHOST LIGHT V2 (PP4336PMTX) official product image
78,36920,5055964717858,PALADONE,PALADONE ICONS: SUPER MARIO - SUPER MUSHROOM LIGHT (PP4375NNV5ID),ΦΩΤΙΣΤΙΚΌ ΜΑΝΙΤΆΡΙ SUPER MARIO,4,true,false,5055964717858 PALADONE PALADONE ICONS: SUPER MARIO - SUPER MUSHROOM LIGHT (PP4375NNV5ID) official product image
79,36931,5055964758417,PALADONE,PALADONE: PLAYSTATION - ICONS LIGHT (PP4140PSV4IN),ΦΩΤΙΣΤΙΚΌ ICONS PLAYSTATION,4,true,false,5055964758417 PALADONE PALADONE: PLAYSTATION - ICONS LIGHT (PP4140PSV4IN) official product image
80,53527,5055964723873,PALADONE,PALADONE: SUPER MARIO - YOSHI EGG SHAPED MUG (650ML) (PP4911NNV2),ΚΟΎΠΑ YOSHI 650ML SUPER MARIO,4,true,false,5055964723873 PALADONE PALADONE: SUPER MARIO - YOSHI EGG SHAPED MUG (650ML) (PP4911NNV2) official product image
82,57505,5055964742270,PALADONE,PALADONE ICONS: MINECRAFT - CREEPER LIGHT BDP (PP6593MCFV4ID),ΦΩΤΙΣΤΙΚΌ CREEPER ICONS MINECRAFT,4,true,false,5055964742270 PALADONE PALADONE ICONS: MINECRAFT - CREEPER LIGHT BDP (PP6593MCFV4ID) official product image
86,89552,5056577700213,PALADONE,PALADONE: MINECRAFT - BACKPACK BUDDIES SERIES 2 (PP10501MCFV2),ΚΛΙΠ ΤΣΆΝΤΑΣ MINECRADT,4,true,false,5056577700213 PALADONE PALADONE: MINECRAFT - BACKPACK BUDDIES SERIES 2 (PP10501MCFV2) official product image
87,96245,5056577740691,PALADONE,PALADONE SQUISHYGLO: DISNEY STITCH - SILICONE LIGHT RECHARGEABLE (PP13693LSV2),ΦΩΤΙΣΤΙΚΌ ΣΙΛΙΚΌΝΗΣ ΕΠΑΝΑΦ. STITCH,4,true,false,5056577740691 PALADONE PALADONE SQUISHYGLO: DISNEY STITCH - SILICONE LIGHT RECHARGEABLE (PP13693LSV2) official product image
88,96257,5056577740707,PALADONE,PALADONE SQUISHYGLO: HELLO KITTY - SILICONE LIGHT RECHARGEABLE (PP13694HKV2),ΦΩΤΙΣΤΙΚΌ ΣΙΛΙΚΌΝΗΣ ΕΠΑΝΑΦ. HELLO KITTY,4,true,false,5056577740707 PALADONE PALADONE SQUISHYGLO: HELLO KITTY - SILICONE LIGHT RECHARGEABLE (PP13694HKV2) official product image
89,96260,5056577733730,PALADONE,PALADONE: HELLO KITTY - SHAPED MUG (300ML) (PP13154HK),ΚΟΎΠΑ 300ML HELLO KITTY,4,true,false,5056577733730 PALADONE PALADONE: HELLO KITTY - SHAPED MUG (300ML) (PP13154HK) official product image
90,96261,5056577735529,PALADONE,PALADONE: HELLO KITTY - METAL WATER BOTTLE (PP13290HK),ΜΕΤΑΛΛΙΚΌ ΠΑΓΟΎΡΙ HELLO KITTY,4,true,false,5056577735529 PALADONE PALADONE: HELLO KITTY - METAL WATER BOTTLE (PP13290HK) official product image
91,104449,5056577754087,PALADONE,PALADONE ICONS: CARE BEARS LIGHT (PP14438CB),ΦΩΤΙΣΤΙΚΌ ICONS CARE BEARS,4,true,false,5056577754087 PALADONE PALADONE ICONS: CARE BEARS LIGHT (PP14438CB) official product image
92,104468,5056577753202,PALADONE,PALADONE GLOBUDDIES: KUROMI - LIGHT (PP14396KUR),ΦΩΤΙΣΤΙΚΌ GLOBUDDIES KUROMI,4,true,false,5056577753202 PALADONE PALADONE GLOBUDDIES: KUROMI - LIGHT (PP14396KUR) official product image
93,104569,5056577754155,PALADONE,PALADONE ICONS: HELLO KITTY - LIGHT (PP14445HK),ΦΩΤΙΣΤΙΚΌ ICONS HELLO KITTY,4,true,false,5056577754155 PALADONE PALADONE ICONS: HELLO KITTY - LIGHT (PP14445HK) official product image
94,104570,5056577754179,PALADONE,PALADONE ICONS: STITCH - ANGEL LIGHT (PP14447LSV2ID),ΦΩΤΙΣΤΙΚΌ ICONS STITCH ANGEL,4,true,false,5056577754179 PALADONE PALADONE ICONS: STITCH - ANGEL LIGHT (PP14447LSV2ID) official product image
95,104572,5056577755749,PALADONE,PALADONE DISNEY: STITCH - ANGEL SHAPED MUG (PP14599LS),ΚΟΎΠΑ STITCH ANGEL,4,true,false,5056577755749 PALADONE PALADONE DISNEY: STITCH - ANGEL SHAPED MUG (PP14599LS) official product image
96,104904,5056577735024,PALADONE,PALADONE ICONS: MINIONS - BOB LIGHT (PP13259MN),ΦΩΤΙΣΤΙΚΌ ICONS BOB MINIONS,4,true,false,5056577735024 PALADONE PALADONE ICONS: MINIONS - BOB LIGHT (PP13259MN) official product image
97,104905,5056577754377,PALADONE,PALADONE SQUISHYGLO: MINIONS - BOB SILICONE LIGHT RECHARGEABLE (PP14467MN),ΦΩΤΙΣΤΙΚΌ ΣΙΛΙΚΌΝΗΣ ΕΠΑΝΑΦ. BOB MINIONS,4,true,false,5056577754377 PALADONE PALADONE SQUISHYGLO: MINIONS - BOB SILICONE LIGHT RECHARGEABLE (PP14467MN) official product image
98,108299,5056577751697,PALADONE,PALADONE ICON LIGHTS: ASTRO BOT - ASTRO 001 (PP14356AB),ΦΩΤΙΣΤΙΚΌ ASTRO 001 ASTRO BOT,4,true,false,5056577751697 PALADONE PALADONE ICON LIGHTS: ASTRO BOT - ASTRO 001 (PP14356AB) official product image
99,110943,5056577767018,PALADONE,PALADONE: HELLO KITTY AND FRIENDS- SWEET TREATS SCENTED BACKPACK BUDDIES (RANDOM) (PP15342HKF),ΚΛΙΠ ΤΣΆΝΤΑΣ HELLO KITTY AND FRIENDS,4,true,false,5056577767018 PALADONE PALADONE: HELLO KITTY AND FRIENDS- SWEET TREATS SCENTED BACKPACK BUDDIES (RANDOM) (PP15342HKF) official product image
100,113702,5056577733266,PALADONE,PALADONE ICONS: SUPER MARIO - SUPER MUSHROOM ALARM CLOCK (PP13124NN),ΞΥΠΝΗΤΉΡΙ ΜΑΝΙΤΆΡΙ SUPER MARIO,4,true,false,5056577733266 PALADONE PALADONE ICONS: SUPER MARIO - SUPER MUSHROOM ALARM CLOCK (PP13124NN) official product image
101,113703,5056577740813,PALADONE,PALADONE: SUPER MARIO - MUG (PP13704NNV2),ΚΟΎΠΑ SUPER MARIO,4,true,false,5056577740813 PALADONE PALADONE: SUPER MARIO - MUG (PP13704NNV2) official product image
102,114530,5056577776331,PALADONE,PALADONE ICON LIGHTS: ONE PIECE - TONY TONY CHOPPER 003 (PP16020OPNF),ΦΩΤΙΣΤΙΚΌ CHOPPER ONE PIECE,4,true,false,5056577776331 PALADONE PALADONE ICON LIGHTS: ONE PIECE - TONY TONY CHOPPER 003 (PP16020OPNF) official product image
103,760022063-1,1770280624850,MARVEL / DC,"SUPERHEROES SPIDERMAN, FLASH, HULK ASSORTED 3MOD",ΛΟΥΤΡΙΝΟ MARVEL 35CM,6,true,false,"1770280624850 MARVEL / DC SUPERHEROES SPIDERMAN, FLASH, HULK ASSORTED 3MOD official product image"
104,760022126,8425611321269,DISNEY,THE LITTLE MERMAID DISNEY 3 MOD. ASSORTED. 40CM,ΛΟΥΤΡΙΝΟ LITTLE MERMAID 40CM,6,true,false,8425611321269 DISNEY THE LITTLE MERMAID DISNEY 3 MOD. ASSORTED. 40CM official product image
105,D100-9401-1,5056219087603,DISNEY,DISNEY PLUTO 100 WALLPAPER PLUSH 30CM,ΛΟΥΤΡΙΝΟ DISNEY PLUTO 30CM,6,true,false,5056219087603 DISNEY DISNEY PLUTO 100 WALLPAPER PLUSH 30CM official product image
106,760024608-1,1717488129862,DISNEY,"DISNEY CLASSICS PALZ PLUTO, DUMBO, WINNIE, TIGGER
30CM 4MOD ASST",ΛΟΥΤΡΙΝΟ DISNEY CLASSIC 30CM,6,true,false,"1717488129862 DISNEY DISNEY CLASSICS PALZ PLUTO, DUMBO, WINNIE, TIGGER
30CM 4MOD ASST official product image"
107,71378,5038104713781,DISNEY,BAYMAX T300 25CM 3 ASSORTED,ΛΟΥΤΡΙΝΟ BAYMAX 25CM,6,true,false,5038104713781 DISNEY BAYMAX T300 25CM 3 ASSORTED official product image
108,760016574,8425611365744,SANRIO,HELLO KITTY ICON 25CM 4MOD,ΛΟΥΤΡΙΝΟ HELLO KITTY ICON 25CM,6,true,false,8425611365744 SANRIO HELLO KITTY ICON 25CM 4MOD official product image
109,760025083,8410779660107,SANRIO,HELLO KITTY AND FRIENDS 22CM,ΛΟΥΤΡΙΝΟ HELLO KITTY&FRIENDS 22CM,6,true,false,8410779660107 SANRIO HELLO KITTY AND FRIENDS 22CM official product image
110,3272D,5038104032721,SANRIO,HELLO KITTY SUSHI PLUSH 25CM - 5 MOD ASSORTED,ΛΟΥΤΡΙΝΟ HELLO KITTY SUSHI 25CM,6,true,false,5038104032721 SANRIO HELLO KITTY SUSHI PLUSH 25CM - 5 MOD ASSORTED official product image
111,KR15794,883975157944,SEGA,SONIC TAILS PLUSH 20CM,ΛΟΥΤΡΙΝΟ SONIC TAILS 20CM,6,true,false,883975157944 SEGA SONIC TAILS PLUSH 20CM official product image
112,KR68333-1,1744796566478,HASBRO,"DUNGEONS & DRAGONS - SPACE HAMSTER & GIANT SPACE
20CM 2MOD ASST",ΛΟΥΤΡΙΝΟ DUNGEONS&DRAGONS 20CM,6,true,false,"1744796566478 HASBRO DUNGEONS & DRAGONS - SPACE HAMSTER & GIANT SPACE
20CM 2MOD ASST official product image"
113,KR14185-1,1744794483524,WARNER BROS.,GREMLINS GIZMO & STRIPE PLUSH 2MOD 20CM ASST,ΛΟΥΤΡΙΝΟ GREMLINS 20CM,6,true,false,1744794483524 WARNER BROS. GREMLINS GIZMO & STRIPE PLUSH 2MOD 20CM ASST official product image
114,KR68334,634482683347,HASBRO,DUNGEONS & DRAGONS - GIANT SPACE SWINE PLUSH 20CM,ΛΟΥΤΡΙΝΟ DUNGEONS&DRAGONS GIANT SPACE 20CM,6,true,false,634482683347 HASBRO DUNGEONS & DRAGONS - GIANT SPACE SWINE PLUSH 20CM official product image
115,KR14185,883975141851,WARNER BROS.,GREMLINS GIZMO PLUSH 20CM,ΛΟΥΤΡΙΝΟ GREMLINS GIZMO 20CM,6,true,false,883975141851 WARNER BROS. GREMLINS GIZMO PLUSH 20CM official product image
116,42802,8436591580614,NETFLIX,LA CASA DE PAPEL 26CM,ΛΟΥΤΡΙΝΟ LA CASA DE PAPEL 26CM,6,true,false,8436591580614 NETFLIX LA CASA DE PAPEL 26CM official product image
117,760020485,8410779604859,FAMOSA / PINYPON,MY FIRST PINYPON PLUSH TOY 15CM - 2 MOD,ΛΟΥΤΡΙΝΟ MY FIRST PINYPON 15CM,6,true,false,8410779604859 FAMOSA / PINYPON MY FIRST PINYPON PLUSH TOY 15CM - 2 MOD official product image
118,760024771-01,5060195285717,MICROSOFT,MINECRAFT 30CM 3MOD ASST SPANDEX,ΛΟΥΤΡΙΝΟ MINECRAFT 30CM,6,true,false,5060195285717 MICROSOFT MINECRAFT 30CM 3MOD ASST SPANDEX official product image
119,8096D,5038104080968,NETFLIX,THE ELECTRIC STATE PLUSH TOY 30CM 7MOD ASSORTED,ΛΟΥΤΡΙΝΟ THE ELECTRIC STATE 30CM,6,true,false,5038104080968 NETFLIX THE ELECTRIC STATE PLUSH TOY 30CM 7MOD ASSORTED official product image
120,POCHITA25,8410301065974,MAPPA,POCHITA - CHAINSAW MAN 25CM,ΛΟΥΤΡΙΝΟ POCHITA CHAINSAW 25CM,6,true,false,8410301065974 MAPPA POCHITA - CHAINSAW MAN 25CM official product image
121,72602,8425611312274,MAPPA,ATTACK ON TITANS 27CM ASSORTED,ΛΟΥΤΡΙΝΟ ATTACK ON TITANS 27CM,6,true,false,8425611312274 MAPPA ATTACK ON TITANS 27CM ASSORTED official product image
122,760021958,8425611319587,DISNEY,DISNEY PLUTO GLITTER BALL 30CM,ΛΟΥΤΡΙΝΟ DISNEY PLUTO 30CM,6,true,false,8425611319587 DISNEY DISNEY PLUTO GLITTER BALL 30CM official product image
123,760024874PR,8425611348747,WARNER BROS.,BEETLEJUICE MOVIE 25CM 3MOD ASST,ΛΟΥΤΡΙΝΟ BEETLEJUICE 25CM,6,true,false,8425611348747 WARNER BROS. BEETLEJUICE MOVIE 25CM 3MOD ASST official product image
124,71174,5038104711749,DISNEY / PIXAR,SOUL 3 MODELOS 28CM,ΛΟΥΤΡΙΝΟ SOUL 28CM,6,true,false,5038104711749 DISNEY / PIXAR SOUL 3 MODELOS 28CM official product image
125,71374D,1715857184542,DISNEY / PIXAR,INSIDE OUT 6MOD 25-30CM ASST,ΛΟΥΤΡΙΝΟ INSIDE OUT 25-30CM,6,true,false,1715857184542 DISNEY / PIXAR INSIDE OUT 6MOD 25-30CM ASST official product image
126,28402,3032161702070,RAINBOW,44 CATS MILADY MUSICAL PLUSH 23X17CM,ΛΟΥΤΡΙΝΟ CATS MILADY 23CM,6,true,false,3032161702070 RAINBOW 44 CATS MILADY MUSICAL PLUSH 23X17CM official product image
129,760023873,8425611338731,MARVEL,MARVEL NEW AVENGERS GLOVES 5MOD 30CM,ΛΟΥΤΡΙΝΟ MARVEL GLOVES 30CM,6,true,false,8425611338731 MARVEL MARVEL NEW AVENGERS GLOVES 5MOD 30CM official product image
130,72403,8425611313219,WARNER BROS.,FANTASTIC BEASTS PICKET 34 CM,ΛΟΥΤΡΙΝΟ FANTASTIC BEASTS PICKET 34CM,6,true,false,8425611313219 WARNER BROS. FANTASTIC BEASTS PICKET 34 CM official product image
131,8094,8425611383892,MARVEL,DEADPOOL PLUSH S3 GIFT 5 ASSORTED 30CM,ΛΟΥΤΡΙΝΟ DEADPOOL 30CM,6,true,false,8425611383892 MARVEL DEADPOOL PLUSH S3 GIFT 5 ASSORTED 30CM official product image
132,1104,8425611648939,MARVEL / DISNEY,MARVEL I AM GROOT ASSORT 30CM,ΛΟΥΤΡΙΝΟ MARVEL GROOT 30CM,6,true,false,8425611648939 MARVEL / DISNEY MARVEL I AM GROOT ASSORT 30CM official product image
133,WH1059,8425611399916,DISNEY,"STITCH, ANGEL AND LEROY KEYCHAIN COLLECTION 10CM",ΜΠΡΕΛΟΚ ΛΟΥΤΡΙΝΟ DISNEY 10CM,9,true,false,"8425611399916 DISNEY STITCH, ANGEL AND LEROY KEYCHAIN COLLECTION 10CM official product image"
134,71426SAD,5038104714269,DISNEY,DISNEY STITCH & ANGEL PLUSH MUNCHLINGS 22CM 2MOD ASST,ΛΟΥΤΡΙΝΟ DISNEY MUNCHLINGS 22CM,6,true,false,5038104714269 DISNEY DISNEY STITCH & ANGEL PLUSH MUNCHLINGS 22CM 2MOD ASST official product image
135,71285D,1775818445884,DISNEY,PINOCCHIO PLUSH 30 CM GIFT - 3 ASSORTED,ΛΟΥΤΡΙΝΟ PINNOCHIO 30CM,6,true,false,1775818445884 DISNEY PINOCCHIO PLUSH 30 CM GIFT - 3 ASSORTED official product image
136,P040506,8718973969676,IMPS,SMURFS PLUSH TOY 25CM 2 MODELS ASSORTED,ΛΟΥΤΡΙΝΟ SMURF 25CM,6,true,false,8718973969676 IMPS SMURFS PLUSH TOY 25CM 2 MODELS ASSORTED official product image
137,5296/30,8055323625296,PEANUTS,SNOOPY CLASSIC PLUSH 30CM,ΛΟΥΤΡΙΝΟ SNOOPY 30CM,6,true,false,8055323625296 PEANUTS SNOOPY CLASSIC PLUSH 30CM official product image
138,6315877032,1775819665939,DISNEY,DISNEY - WISH - ASHA PLUSH 30 CM,ΛΟΥΤΡΙΝΟ DISNEY WISH ASHA 30CM,6,true,false,1775819665939 DISNEY DISNEY - WISH - ASHA PLUSH 30 CM official product image
139,39907,5400868021370,DISNEY,DISNEY WISH STAR 22 CM,ΛΟΥΤΡΙΝΟ DISNEY WISH STAR 22CM,6,true,false,5400868021370 DISNEY DISNEY WISH STAR 22 CM official product image
140,6315877031,1775819735113,DISNEY,DISNEY - WISH - VALENTINO PLUSH 25 CM,ΛΟΥΤΡΙΝΟ DISNEY WISH VALENTINO 25CM,6,true,false,1775819735113 DISNEY DISNEY - WISH - VALENTINO PLUSH 25 CM official product image
141,45281020A_309,5056219089713,ENTERTAINMENT ONE,PEPPA PIG 22CM LITTLE BODY,ΛΟΥΤΡΙΝΟ PEPPA PIG 22CM,6,true,false,5056219089713 ENTERTAINMENT ONE PEPPA PIG 22CM LITTLE BODY official product image
142,49473,5038104494734,KAWAII KUTIES,KAWAII KUTIES PLUSH 4 ASSORTED 24CM + NOODLES,ΛΟΥΤΡΙΝΟ KAWAII KUTIES 24CM,6,true,false,5038104494734 KAWAII KUTIES KAWAII KUTIES PLUSH 4 ASSORTED 24CM + NOODLES official product image
143,2289820,8721246996811,SANRIO,HELLO KITTY PLUSH KUROMI FLUFFY 2 ASSORTED 23CM,ΛΟΥΤΡΙΝΟ HELLLO KITTY KUROMI 23CM,6,true,false,8721246996811 SANRIO HELLO KITTY PLUSH KUROMI FLUFFY 2 ASSORTED 23CM official product image
144,ST25106,1767863000927,POKÉMON,POKEMON ASSORTED 4 MOD. 22-28CM,ΛΟΥΤΡΙΝΟ POKEMON 22-28CM,6,true,false,1767863000927 POKÉMON POKEMON ASSORTED 4 MOD. 22-28CM official product image
145,760023868,8425611338687,SANRIO,HELLO KITTY 50TH ANNIV 16CM 4 ASST,ΛΟΥΤΡΙΝΟ HELLO KITTY 50TH ANNIV 16CM,6,true,false,8425611338687 SANRIO HELLO KITTY 50TH ANNIV 16CM 4 ASST official product image
148,16001958,8436591582113,ANIME,NARUTO PLUSH SITTING 25CM,ΛΟΥΤΡΙΝΟ NARUTO SITTING 25CM,6,true,false,8436591582113 ANIME NARUTO PLUSH SITTING 25CM official product image
